mirna,target_gene,target_ensemble_id,mirna_key,mirna_ensamble_id
rno-miR-21-5p,Tiam1,ENSRNOG00000021569,21,ENSRNOG00000035480
rno-miR-21-5p,Peli1,ENSRNOG00000006329,21,ENSRNOG00000035480
rno-miR-21-5p,Peli1,ENSRNOG00000065015,21,ENSRNOG00000035480
rno-miR-25-3p,Nox4,ENSRNOG00000013925,25,ENSRNOG00000035531
rno-miR-92b-3p,Nox4,ENSRNOG00000013925,92b,ENSRNOG00000036423
rno-miR-10b-5p,Rhoc,ENSRNOG00000012630,10b,ENSRNOG00000035554
rno-miR-34a-5p,Mgst1,ENSRNOG00000007743,34a,ENSRNOG00000035623
rno-miR-34a-5p,Sp1,ENSRNOG00000014084,34a,ENSRNOG00000035623
rno-miR-93-5p,Sp1,ENSRNOG00000014084,93,ENSRNOG00000035485
rno-miR-93-5p,Sirt1,ENSRNOG00000051592,93,ENSRNOG00000035485
rno-miR-93-5p,Mgst1,ENSRNOG00000007743,93,ENSRNOG00000035485
rno-miR-376b-5p,Bdnf,ENSRNOG00000047466,376b,ENSRNOG00000036490
rno-miR-132-3p,Pten,ENSRNOG00000020723,132,ENSRNOG00000035516
rno-miR-132-3p,Rasa1,ENSRNOG00000029185,132,ENSRNOG00000035516
rno-miR-212-3p,Rasa1,ENSRNOG00000029185,212,ENSRNOG00000035476
rno-miR-206-3p,Pax3,ENSRNOG00000013670,206,ENSRNOG00000035498
rno-miR-34c-5p,Sipa1,ENSRNOG00000020726,34c,ENSRNOG00000035478
rno-miR-145-5p,Bnip3,ENSRNOG00000017243,145,ENSRNOG00000035474
rno-miR-125a-5p,Scarb1,ENSRNOG00000000981,125a,ENSRNOG00000035572
rno-miR-125a-3p,Scarb1,ENSRNOG00000000981,125a,ENSRNOG00000035572
rno-miR-455-5p,Scarb1,ENSRNOG00000000981,455,ENSRNOG00000036266
rno-miR-146a-5p,Smad4,ENSRNOG00000051965,146a,ENSRNOG00000035466
rno-miR-384-5p,Pik3cd,ENSRNOG00000016846,384,ENSRNOG00000035555
rno-miR-322-5p,Ccnd1,ENSRNOG00000020918,322,ENSRNOG00000064087
